UID	11RosaH	12RosaH	14RosaF	16RosaF	17Rosa-	18Rosa-	8RosaH	9RosaH	CAG-14914	CAG-14915	CMP	GMP	Gfi1.Null	Irf8.Null	LSK
Ikbip	4.310340121	4.135042286	4.130107179	4.482202926	3.605257263	3.888499736	3.61117238	3.801158656	3.619413011	4.382667253	4.263034406	4.326249701	4.016139703	4.076388069	4.239550797
Ikbkap	5.087462841	4.854494418	4.452858965	4.767654798	4.253989266	4.771357409	4.906890596	4.936873462	4.114367025	4.546585829	4.72628629	4.708187236	4.468583317	4.00270252	5.160274831
Ikbkb	4.618238656	4.710944155	4.570462931	4.862451391	5.145269857	5.10433666	4.723012396	4.522934561	4.914086097	5.312519967	5.992994967	6.008316564	5.6043679	5.309248961	6.400196342
Ikbke	5.353676158	5.129283017	5.219555769	5.37816478	5.712870868	6.30560579	4.985955755	4.931683057	5.468583317	6.152994605	5.622930351	5.770300489	5.284662185	6.394376945	4.942514505
Ikbkg	4.09085343	4.123500664	3.82374936	4.03562391	3.845991771	3.715893371	3.822730148	3.896271849	3.773996325	3.98550043	4.116863758	4.232660757	3.628773595	3.450221496	4.708187236
Ikzf1	6.993334704	7.074034394	7.365710032	7.004164275	7.224677025	7.162693432	7.252476214	7.209063395	7.152284842	7.110718194	6.739443098	6.869624686	6.152994605	5.822220272	7.792725233
Ikzf2	4.917909074	5.158660175	0.604071324	5.025914699	1.40053793	5.62497818	1.459431619	1.049630768	1.691534165	5.084064265	2.448900951	2.700439718	2.244887059	0.286881148	4.907852072
Ikzf3	0.056583528	0.097610797	0	0.250961574	0	0.575312331	0.056583528	0	0.150559677	0.432959407	0.632268215	0.847996907	0.948600847	0.163498732	0.659924558
Ikzf4	0.925999419	1.028569152	0.298658316	1.500802053	0.23878686	1.310340121	0.35614381	0.454175893	0	1.214124805	0	0	0	0.028569152	0.82374936
Ikzf5	4.527946099	4.334139179	4.217230716	4.439623138	3.555816155	3.914564523	4.055716264	4.302319051	3.9800253	4.115199749	4.412781525	4.435628594	3.608809243	3.212569339	4.767125077
